Epoch,Loss,Value
0,recon_loss,485.35360373220135
0,kl_loss,10.038118185535554
0,kl_loss_0,0.1123518045035301
0,kl_loss_1,0.7702256517224414
0,kl_loss_2,0.05827420157059947
0,kl_loss_3,0.08136082051186672
0,kl_loss_4,0.08055898883274847
0,kl_loss_5,0.08431359405268825
0,kl_loss_6,0.15162959127556733
0,kl_loss_7,0.04659761536881448
0,kl_loss_8,0.0590873266024495
0,kl_loss_9,0.8810460705670619
0,kl_loss_10,0.26823787998047566
0,kl_loss_11,0.41762191970502177
0,kl_loss_12,0.4954102049151095
0,kl_loss_13,0.10664948545801904
0,kl_loss_14,0.25949339033855545
0,kl_loss_15,0.0728442437999371
0,kl_loss_16,0.3066284626081426
0,kl_loss_17,0.08008069445639449
0,kl_loss_18,0.07971599166687098
0,kl_loss_19,0.31838074612921924
0,kl_loss_20,0.10949624891978718
0,kl_loss_21,1.0017227955382837
0,kl_loss_22,0.8683510701502523
0,kl_loss_23,0.7648890053512909
0,kl_loss_24,0.07875845360229172
0,kl_loss_25,0.08523201398421279
0,kl_loss_26,0.367716998442687
0,kl_loss_27,0.09379156588035967
0,kl_loss_28,0.0849144076665623
0,kl_loss_29,0.0536535694852211
0,kl_loss_30,0.048605511965160005
0,kl_loss_31,1.750477875993457
0,loss,538.0569989604335
1,recon_loss,478.72762470860636
1,kl_loss,4.429861824999573
1,kl_loss_0,0.001738291645612848
1,kl_loss_1,0.4133991868265213
1,kl_loss_2,0.0006121765291418439
1,kl_loss_3,0.0007445681752556915
1,kl_loss_4,0.0007095421759551892
1,kl_loss_5,0.0006588680146422277
1,kl_loss_6,0.005200680758383485
1,kl_loss_7,0.0005748663648402178
1,kl_loss_8,0.0005131130862820854
1,kl_loss_9,0.5586575522858609
1,kl_loss_10,0.03301331767892485
1,kl_loss_11,0.057379980841951984
1,kl_loss_12,0.1557892469228596
1,kl_loss_13,0.0007603483234522163
1,kl_loss_14,0.015884220109431333
1,kl_loss_15,0.000573004005096292
1,kl_loss_16,0.031739822503740106
1,kl_loss_17,0.0007284747446656868
1,kl_loss_18,0.0008706766123112331
1,kl_loss_19,0.04614801426488225
1,kl_loss_20,0.000736380961062687
1,kl_loss_21,0.8627164011360496
1,kl_loss_22,0.42116967276219397
1,kl_loss_23,0.49193670528550304
1,kl_loss_24,0.000685629418610485
1,kl_loss_25,0.00060861164288375
1,kl_loss_26,0.10534559725032698
1,kl_loss_27,0.0012689693830907345
1,kl_loss_28,0.0007837477205221051
1,kl_loss_29,0.0005193030153731665
1,kl_loss_30,0.000617153101390408
1,kl_loss_31,1.2177777200616815
1,loss,549.3964392549249
2,recon_loss,473.7103412587156
2,kl_loss,4.360359130367156
2,kl_loss_0,0.000489572703998576
2,kl_loss_1,0.42462172831899375
2,kl_loss_2,0.0002879006237352407
2,kl_loss_3,0.00031596234428786464
2,kl_loss_4,0.0002808748413958857
2,kl_loss_5,0.00027285022811303214
2,kl_loss_6,0.0008274564257903045
2,kl_loss_7,0.00027538785555710393
2,kl_loss_8,0.0002560794631379747
2,kl_loss_9,0.5425374522324531
2,kl_loss_10,0.015053221179793278
2,kl_loss_11,0.031575869673722855
2,kl_loss_12,0.11080180657326534
2,kl_loss_13,0.00034168272489501587
2,kl_loss_14,0.005237147660164904
2,kl_loss_15,0.00024748842171843976
2,kl_loss_16,0.017164041681255224
2,kl_loss_17,0.0002619506245458959
2,kl_loss_18,0.0003248421996030756
2,kl_loss_19,0.026321792499392583
2,kl_loss_20,0.00034006038350203345
2,kl_loss_21,0.9430221142948315
2,kl_loss_22,0.4199405185958391
2,kl_loss_23,0.5050475081448914
2,kl_loss_24,0.00031358733527883084
2,kl_loss_25,0.00026554157782185785
2,kl_loss_26,0.09140914559404376
2,kl_loss_27,0.00036077012723532097
2,kl_loss_28,0.00030275225333909514
2,kl_loss_29,0.000240564370097252
2,kl_loss_30,0.0002817358028003445
2,kl_loss_31,1.2213397167062248
2,loss,543.4760871805171
3,recon_loss,472.70374421150456
3,kl_loss,4.431226150963896
3,kl_loss_0,0.000224632332451962
3,kl_loss_1,0.4420610996343756
3,kl_loss_2,0.0001689515975354019
3,kl_loss_3,0.00019695953671289708
3,kl_loss_4,0.00017196986754174515
3,kl_loss_5,0.00018837325330022523
3,kl_loss_6,0.00031653563592142316
3,kl_loss_7,0.0001840937221723218
3,kl_loss_8,0.00018458459300980452
3,kl_loss_9,0.5458928131929008
3,kl_loss_10,0.005923017723015159
3,kl_loss_11,0.01943406141212871
3,kl_loss_12,0.10265340611979526
3,kl_loss_13,0.00018330661564945212
3,kl_loss_14,0.0017649153002127203
3,kl_loss_15,0.0001470491199964477
3,kl_loss_16,0.010481979312395216
3,kl_loss_17,0.00016899578528658998
3,kl_loss_18,0.00021793110977097224
3,kl_loss_19,0.019566385636246332
3,kl_loss_20,0.0001754423838749688
3,kl_loss_21,0.9923557068711968
3,kl_loss_22,0.43034573828661316
3,kl_loss_23,0.5212831607749385
3,kl_loss_24,0.0001802017827147758
3,kl_loss_25,0.00017288076110504648
3,kl_loss_26,0.09200997695687317
3,kl_loss_27,0.00022254955969871053
3,kl_loss_28,0.0002325901696558601
3,kl_loss_29,0.0001474261992380664
3,kl_loss_30,0.00016424600510627673
3,kl_loss_31,1.2438051399364267
3,loss,543.6033632011823
4,recon_loss,467.8082258894637
4,kl_loss,4.430584046647355
4,kl_loss_0,0.0001506077528402612
4,kl_loss_1,0.4494656469370868
4,kl_loss_2,0.0001388313336851629
4,kl_loss_3,0.00013745034088355463
4,kl_loss_4,0.00014317501839753745
4,kl_loss_5,0.00015261004477537968
4,kl_loss_6,0.00024673201118570725
4,kl_loss_7,0.00012893575193310107
4,kl_loss_8,0.0001274812500923872
4,kl_loss_9,0.534223469527992
4,kl_loss_10,0.001941108240469082
4,kl_loss_11,0.012652283267596284
4,kl_loss_12,0.1001909053808934
4,kl_loss_13,0.00013245233284259165
4,kl_loss_14,0.0005073797083585649
4,kl_loss_15,0.0001182776762524972
4,kl_loss_16,0.005251989065593965
4,kl_loss_17,0.000168450824866021
4,kl_loss_18,0.00016019538649030633
4,kl_loss_19,0.015657399989966604
4,kl_loss_20,0.00012693135571238158
4,kl_loss_21,1.0270307557002918
4,kl_loss_22,0.4275130769690952
4,kl_loss_23,0.5201235115528107
4,kl_loss_24,0.00013707113905331574
4,kl_loss_25,0.00014384418373575083
4,kl_loss_26,0.08820776139964928
4,kl_loss_27,0.00012742558846602569
4,kl_loss_28,0.0001452020709277005
4,kl_loss_29,0.00012929482335174406
4,kl_loss_30,0.0001349940593983676
4,kl_loss_31,1.2450687788628243
4,loss,538.6975689862226
5,recon_loss,464.99530144147974
5,kl_loss,4.479117448611926
5,kl_loss_0,0.00011376132036969866
5,kl_loss_1,0.4548183621898774
5,kl_loss_2,0.00011994793976066254
5,kl_loss_3,0.00012061508342383369
5,kl_loss_4,0.0001269662827854195
5,kl_loss_5,0.00014812055654743667
5,kl_loss_6,0.00013455258487092873
5,kl_loss_7,0.00010743435166816237
5,kl_loss_8,0.00010717831557035767
5,kl_loss_9,0.5278539923570489
5,kl_loss_10,0.0004989206578121871
5,kl_loss_11,0.01037170432923582
5,kl_loss_12,0.10005681402981281
5,kl_loss_13,0.00010757731093514351
5,kl_loss_14,0.000248324761908221
5,kl_loss_15,0.00012478331274162698
5,kl_loss_16,0.002206866129962427
5,kl_loss_17,0.00012955315140706877
5,kl_loss_18,0.00010849265206444968
5,kl_loss_19,0.014175664078974996
5,kl_loss_20,0.00014665402642260957
5,kl_loss_21,1.068111208177382
5,kl_loss_22,0.42824104764769155
5,kl_loss_23,0.5272841996723606
5,kl_loss_24,0.00011578406662910535
5,kl_loss_25,0.00012238660917407082
5,kl_loss_26,0.09384487507243951
5,kl_loss_27,0.00012751164851129376
5,kl_loss_28,0.00010986794512318347
5,kl_loss_29,0.0001223944866108478
5,kl_loss_30,0.00011544670754422744
5,kl_loss_31,1.2490964301170842
5,loss,536.6611820344002
6,recon_loss,464.6899814400622
6,kl_loss,4.480083589912743
6,kl_loss_0,0.00011652594517355645
6,kl_loss_1,0.46336123539555457
6,kl_loss_2,0.00010479505859836135
6,kl_loss_3,0.00012177512705606479
6,kl_loss_4,0.00011578525456609905
6,kl_loss_5,0.00011801558061032206
6,kl_loss_6,0.00013262557331472635
6,kl_loss_7,9.741318932864614e-05
6,kl_loss_8,0.0001443011638638313
6,kl_loss_9,0.5163036128205638
6,kl_loss_10,0.00017361665114520058
6,kl_loss_11,0.008457218510879865
6,kl_loss_12,0.09707150159664052
6,kl_loss_13,0.00010719722367182214
6,kl_loss_14,0.00012718670956429935
6,kl_loss_15,0.00011834549662526898
6,kl_loss_16,0.0005595147564646698
6,kl_loss_17,0.00018147530499845743
6,kl_loss_18,0.00010673500477306305
6,kl_loss_19,0.014123580925497077
6,kl_loss_20,0.0001061325980430489
6,kl_loss_21,1.07894387168269
6,kl_loss_22,0.4309389128159451
6,kl_loss_23,0.5214914738811472
6,kl_loss_24,0.00013782939703394008
6,kl_loss_25,0.00011224253603848077
6,kl_loss_26,0.09436077683643308
6,kl_loss_27,0.00011707283431283569
6,kl_loss_28,0.00010269324881054701
6,kl_loss_29,0.00011573166972006201
6,kl_loss_30,0.0001309613349236628
6,kl_loss_31,1.251883432429324
6,loss,536.3713186940839
7,recon_loss,461.58694277527513
7,kl_loss,4.49097813201207
7,kl_loss_0,0.00011474200053721346
7,kl_loss_1,0.45749836358972773
7,kl_loss_2,0.00010934647583272509
7,kl_loss_3,0.00010175582006453507
7,kl_loss_4,9.794368393599026e-05
7,kl_loss_5,0.00012720718739494202
7,kl_loss_6,0.00011819501167103167
7,kl_loss_7,0.00013741725675200903
7,kl_loss_8,0.00010697606710656996
7,kl_loss_9,0.5178286604663377
7,kl_loss_10,0.00011687889014200497
7,kl_loss_11,0.00687182846889701
7,kl_loss_12,0.09474496433251006
7,kl_loss_13,0.00014158228402256324
7,kl_loss_14,9.771769550899344e-05
7,kl_loss_15,0.0001095825172860616
7,kl_loss_16,0.0001823428908102615
7,kl_loss_17,0.00012931543257167582
7,kl_loss_18,0.00011694882195242631
7,kl_loss_19,0.011512467672707893
7,kl_loss_20,0.00010887500254176957
7,kl_loss_21,1.0971544516342941
7,kl_loss_22,0.43145085502696295
7,kl_loss_23,0.52051644555984
7,kl_loss_24,0.00012635826683973753
7,kl_loss_25,0.00010272161659574317
7,kl_loss_26,0.0935027992793469
7,kl_loss_27,0.00010112208133983997
7,kl_loss_28,0.00010965224380494767
7,kl_loss_29,0.00012773938692345094
7,kl_loss_30,0.00017568160484354663
7,kl_loss_31,1.257237172254952
7,loss,533.4425949588899
8,recon_loss,461.447998539094
8,kl_loss,4.541495571854294
8,kl_loss_0,0.00011163079480250036
8,kl_loss_1,0.4658592623728578
8,kl_loss_2,0.00011530013439515906
8,kl_loss_3,9.902000993049593e-05
8,kl_loss_4,0.00013003511709832057
8,kl_loss_5,0.00010088529883413225
8,kl_loss_6,0.00012178940733554222
8,kl_loss_7,0.00011082925903861241
8,kl_loss_8,9.26926256387785e-05
8,kl_loss_9,0.5156933886389579
8,kl_loss_10,0.00011031782900493952
8,kl_loss_11,0.005459422612392534
8,kl_loss_12,0.10278847098590867
8,kl_loss_13,0.0001631337293093243
8,kl_loss_14,0.00011229702466798406
8,kl_loss_15,0.00010280320120434607
8,kl_loss_16,0.00010719512318891864
8,kl_loss_17,0.00010594311520777722
8,kl_loss_18,0.00012892966849669334
8,kl_loss_19,0.011302536767807299
8,kl_loss_20,0.00011769654755029947
8,kl_loss_21,1.105570977093071
8,kl_loss_22,0.4430579906830224
8,kl_loss_23,0.5298214264774835
8,kl_loss_24,9.765472608588396e-05
8,kl_loss_25,0.00010960841781750161
8,kl_loss_26,0.09444060959723047
8,kl_loss_27,0.00012624176013814186
8,kl_loss_28,0.00011475823984871949
8,kl_loss_29,0.00010117360951519141
8,kl_loss_30,0.00012241005246597592
8,kl_loss_31,1.2649990832933815
8,loss,534.1119276477444
9,recon_loss,461.9179029310072
9,kl_loss,4.496147961229892
9,kl_loss_0,9.946727974189294e-05
9,kl_loss_1,0.4687707006931305
9,kl_loss_2,0.00010906093804216063
9,kl_loss_3,9.997483166689808e-05
9,kl_loss_4,0.00010992921888828278
9,kl_loss_5,9.886120269830163e-05
9,kl_loss_6,0.00010465624918406074
9,kl_loss_7,9.852480017454237e-05
9,kl_loss_8,0.00011739290344554025
9,kl_loss_9,0.5099338951948527
9,kl_loss_10,0.00011214043919903201
9,kl_loss_11,0.004197482524339009
9,kl_loss_12,0.10092566951706602
9,kl_loss_13,0.00012691707501338945
9,kl_loss_14,8.96248739917536e-05
9,kl_loss_15,9.990154916571604e-05
9,kl_loss_16,0.0001098318151324182
9,kl_loss_17,0.00011484205496270914
9,kl_loss_18,0.00011999350343201611
9,kl_loss_19,0.00945789094108182
9,kl_loss_20,9.356722915293397e-05
9,kl_loss_21,1.0925455289918022
9,kl_loss_22,0.43159578281479916
9,kl_loss_23,0.521108889579773
9,kl_loss_24,0.00010844755892616672
9,kl_loss_25,0.00011888216501353561
9,kl_loss_26,0.0933181456617407
9,kl_loss_27,0.00010351487435400486
9,kl_loss_28,0.00010166091567559822
9,kl_loss_29,9.498526216358752e-05
9,kl_loss_30,0.00011454508639872075
9,kl_loss_31,1.2619472890286831
9,loss,533.8562684755068
10,recon_loss,463.62201501989875
10,kl_loss,4.505483622192054
10,kl_loss_0,0.00010395974111092347
10,kl_loss_1,0.4649072132443869
10,kl_loss_2,0.00010082527859917571
10,kl_loss_3,0.00010940861032013931
10,kl_loss_4,0.0001057177889711594
10,kl_loss_5,8.970561752756757e-05
10,kl_loss_6,0.00014573561343094035
10,kl_loss_7,0.00011969442223949778
10,kl_loss_8,0.00010423601219450594
10,kl_loss_9,0.5130194226900736
10,kl_loss_10,9.723633317457092e-05
10,kl_loss_11,0.002619517180988545
10,kl_loss_12,0.09719814502343696
10,kl_loss_13,0.00010266736204866119
10,kl_loss_14,9.901113482692869e-05
10,kl_loss_15,0.00014003416803735558
10,kl_loss_16,9.9925107763259e-05
10,kl_loss_17,9.997580100291519e-05
10,kl_loss_18,0.00012531268074908244
10,kl_loss_19,0.00825718599146292
10,kl_loss_20,0.00011765316218858765
10,kl_loss_21,1.10292703714422
10,kl_loss_22,0.4350192075775516
10,kl_loss_23,0.5241544728958478
10,kl_loss_24,0.00012228962018965712
10,kl_loss_25,0.00013896092016410123
10,kl_loss_26,0.09200213354841996
10,kl_loss_27,0.00010437936201611514
10,kl_loss_28,9.401996685091847e-05
10,kl_loss_29,0.00015000990712113918
10,kl_loss_30,0.0001070940108489125
10,kl_loss_31,1.2629013990843168
10,loss,535.7097527288621
11,recon_loss,459.71905386319725
11,kl_loss,4.51535226068189
11,kl_loss_0,0.00011202022157889861
11,kl_loss_1,0.46979553404674734
11,kl_loss_2,0.00010825654802223046
11,kl_loss_3,9.685006338141619e-05
11,kl_loss_4,9.30532352418028e-05
11,kl_loss_5,0.00010613935263527017
11,kl_loss_6,0.00010602556855007206
11,kl_loss_7,0.0001034564376177807
11,kl_loss_8,8.72777309268713e-05
11,kl_loss_9,0.5083149136394582
11,kl_loss_10,0.00010140659913460733
11,kl_loss_11,0.0011229360155681127
11,kl_loss_12,0.09400652256864374
11,kl_loss_13,8.970066674694579e-05
11,kl_loss_14,0.0001059706893659407
11,kl_loss_15,0.00014119353070254288
11,kl_loss_16,9.871376878632013e-05
11,kl_loss_17,0.00010264946287998589
11,kl_loss_18,0.00012139748075916882
11,kl_loss_19,0.006688723211697433
11,kl_loss_20,0.00010252448039189462
11,kl_loss_21,1.1045403893916839
11,kl_loss_22,0.4362452861762816
11,kl_loss_23,0.5339302721843925
11,kl_loss_24,0.00011013534110319871
11,kl_loss_25,9.435412514033497e-05
11,kl_loss_26,0.09677357430900296
11,kl_loss_27,0.00010503274363575763
11,kl_loss_28,0.00010979118236210398
11,kl_loss_29,0.00011815181407596796
11,kl_loss_30,0.00011450546588348125
11,kl_loss_31,1.2616055191204112
11,loss,531.9646900135983
12,recon_loss,460.7598407704343
12,kl_loss,4.563937367931489
12,kl_loss_0,0.0001058361858570127
12,kl_loss_1,0.4749074850672035
12,kl_loss_2,0.00011798547285418677
12,kl_loss_3,9.563883080557789e-05
12,kl_loss_4,9.453703989825582e-05
12,kl_loss_5,9.510893955506305e-05
12,kl_loss_6,0.0001335690806930264
12,kl_loss_7,9.243627409300496e-05
12,kl_loss_8,0.00013025330069164434
12,kl_loss_9,0.5110570645780974
12,kl_loss_10,0.00010575120142030139
12,kl_loss_11,0.0005385044596648665
12,kl_loss_12,0.10225199303159149
12,kl_loss_13,0.0001008595898246733
12,kl_loss_14,0.00012272697002176317
12,kl_loss_15,0.00012393588680894145
12,kl_loss_16,0.0001331059868016871
12,kl_loss_17,9.642795394224826e-05
12,kl_loss_18,0.00014340443166113029
12,kl_loss_19,0.005552687757318059
12,kl_loss_20,0.0001096470664525705
12,kl_loss_21,1.1225292615352138
12,kl_loss_22,0.44071056317257623
12,kl_loss_23,0.5350860833160339
12,kl_loss_24,0.00014866925200187071
12,kl_loss_25,0.00010462065217315509
12,kl_loss_26,0.09849782471334742
12,kl_loss_27,0.00010836272755818021
12,kl_loss_28,0.0001459178547324833
12,kl_loss_29,0.00011010055295041491
12,kl_loss_30,0.00011242077290330844
12,kl_loss_31,1.2702745820886345
12,loss,533.7828387188655
13,recon_loss,463.8057795698925
13,kl_loss,4.549854655419627
13,kl_loss_0,0.00011773167618660516
13,kl_loss_1,0.47532615209779433
13,kl_loss_2,0.00011675264210670545
13,kl_loss_3,9.69164426468553e-05
13,kl_loss_4,9.000490254331981e-05
13,kl_loss_5,9.643802824880808e-05
13,kl_loss_6,0.0001757149659698048
13,kl_loss_7,9.904218141630452e-05
13,kl_loss_8,9.509251748401952e-05
13,kl_loss_9,0.5080903392004711
13,kl_loss_10,0.00010310639176637895
13,kl_loss_11,0.0001934692902009814
13,kl_loss_12,0.09656873736931111
13,kl_loss_13,0.00010910997748054484
13,kl_loss_14,0.00012876237717567273
13,kl_loss_15,0.00011948649446049364
13,kl_loss_16,9.798814207115161e-05
13,kl_loss_17,0.00010989276787406335
13,kl_loss_18,0.00015683396423976588
13,kl_loss_19,0.003463986313461216
13,kl_loss_20,0.0001014981291166717
13,kl_loss_21,1.126929606481265
13,kl_loss_22,0.4410380775569588
13,kl_loss_23,0.5286602730392128
13,kl_loss_24,0.00016386151784450137
13,kl_loss_25,0.00013897130240796395
13,kl_loss_26,0.09730020864436062
13,kl_loss_27,9.289161196999973e-05
13,kl_loss_28,9.969705390313299e-05
13,kl_loss_29,8.824145576606195e-05
13,kl_loss_30,0.00012006094524015982
13,kl_loss_31,1.2697657077543196
13,loss,536.6034563946467
14,recon_loss,457.6934750118771
14,kl_loss,4.530050050890123
14,kl_loss_0,0.00011101147864718695
14,kl_loss_1,0.4739301729846645
14,kl_loss_2,0.00010669921222772147
14,kl_loss_3,0.00011003607179264765
14,kl_loss_4,9.357663047676151e-05
14,kl_loss_5,0.00011943422031362315
14,kl_loss_6,0.0001872567887845877
14,kl_loss_7,9.603263256517616e-05
14,kl_loss_8,0.00010527864828504421
14,kl_loss_9,0.5097183383799888
14,kl_loss_10,0.00011585617085566392
14,kl_loss_11,0.00010009469791642717
14,kl_loss_12,0.09480374499752715
14,kl_loss_13,8.691844807283298e-05
14,kl_loss_14,0.0001349304211200089
14,kl_loss_15,0.00013182612035322834
14,kl_loss_16,9.133223494565165e-05
14,kl_loss_17,9.451472401820324e-05
14,kl_loss_18,0.00011178946902824415
14,kl_loss_19,0.0025593890418374055
14,kl_loss_20,0.00010469345803800467
14,kl_loss_21,1.1204091416822897
14,kl_loss_22,0.4369577870175645
14,kl_loss_23,0.5244799188665441
14,kl_loss_24,0.000205754376696171
14,kl_loss_25,0.00013690940733696963
14,kl_loss_26,0.09574389071077914
14,kl_loss_27,0.0001188362281568147
14,kl_loss_28,9.614584992664891e-05
14,kl_loss_29,0.00011784716232402904
14,kl_loss_30,0.0001091978676315095
14,kl_loss_31,1.2687617050634847
14,loss,530.1742789603568
15,recon_loss,453.59066099761634
15,kl_loss,4.524040813087135
15,kl_loss_0,0.00010790185181684392
15,kl_loss_1,0.4789949939135582
15,kl_loss_2,0.00012006309704594714
15,kl_loss_3,0.00011009721571118921
15,kl_loss_4,0.00014783145474290014
15,kl_loss_5,0.00012003461534898448
15,kl_loss_6,0.00014429821467567836
15,kl_loss_7,0.00010472993111057627
15,kl_loss_8,9.582667631567806e-05
15,kl_loss_9,0.5069646107894118
15,kl_loss_10,0.0001713650849377436
15,kl_loss_11,0.00010637091773171579
15,kl_loss_12,0.08876153913837287
15,kl_loss_13,9.045158813316976e-05
15,kl_loss_14,0.00011196030148615439
15,kl_loss_15,0.00010710615559571212
15,kl_loss_16,0.0001315336276386534
15,kl_loss_17,8.375998411167373e-05
15,kl_loss_18,0.00010382293182755671
15,kl_loss_19,0.001816944866341048
15,kl_loss_20,9.683132301815736e-05
15,kl_loss_21,1.1266094116113519
15,kl_loss_22,0.43661248571770167
15,kl_loss_23,0.5226230316905565
15,kl_loss_24,0.00011920797268068919
15,kl_loss_25,0.00013371049651816008
15,kl_loss_26,0.09680086872991055
15,kl_loss_27,0.00011510057725332757
15,kl_loss_28,9.46695443182703e-05
15,kl_loss_29,0.00010260101282588577
15,kl_loss_30,9.3217821471313e-05
15,kl_loss_31,1.262244430280501
15,loss,525.9753157092679
16,recon_loss,461.60752556913644
