Epoch,Loss,Value
0,recon_loss,523.7632849908645
0,loss,-501.8824469453545
0,mi_loss,154.18535482755271
0,tc_loss,-147.83892994542276
0,dw_kl_loss,9.34648693697427
0,kl_loss,15.695058357971972
0,kl_loss_0,0.2964271498062918
0,kl_loss_1,0.1842550893504453
0,kl_loss_2,0.12189533733712729
0,kl_loss_3,0.7875167935866342
0,kl_loss_4,0.21803396675855882
0,kl_loss_5,0.2788597337841507
0,kl_loss_6,0.14254767297496718
0,kl_loss_7,0.16089356622548515
0,kl_loss_8,0.12332703427521773
0,kl_loss_9,0.12375971321417119
0,kl_loss_10,0.23876317414224787
0,kl_loss_11,0.14792476746664251
0,kl_loss_12,0.2933334051280893
0,kl_loss_13,0.854133120968297
0,kl_loss_14,0.17463787147394752
0,kl_loss_15,0.12274058567239873
0,kl_loss_16,0.2863244128924224
0,kl_loss_17,0.2442945943925009
0,kl_loss_18,0.144594949354688
0,kl_loss_19,1.0219324227943216
0,kl_loss_20,0.20107990030639916
0,kl_loss_21,1.9896066761525568
0,kl_loss_22,5.44169896688833
0,kl_loss_23,0.15493676364822415
0,kl_loss_24,0.2145974075381634
0,kl_loss_25,0.12474106316284467
0,kl_loss_26,0.3341774851364154
0,kl_loss_27,0.17032023252899287
0,kl_loss_28,0.14287225606661008
0,kl_loss_29,0.11351053317588183
0,kl_loss_30,0.2593149002040586
0,kl_loss_31,0.582006752611168
1,recon_loss,468.13267976494245
1,loss,-554.8920588339529
1,mi_loss,154.59254955989059
1,tc_loss,-147.40713525587512
1,dw_kl_loss,1.6460882662444987
1,kl_loss,8.82287609961725
1,kl_loss_0,0.02929713657145859
1,kl_loss_1,0.01984558344608353
1,kl_loss_2,0.024504140565191866
1,kl_loss_3,1.081255579187024
1,kl_loss_4,0.025068165629260963
1,kl_loss_5,0.04429635338445184
1,kl_loss_6,0.04418294457218019
1,kl_loss_7,0.06107097717943371
1,kl_loss_8,0.014953053283495128
1,kl_loss_9,0.027211968326360306
1,kl_loss_10,0.03120739124114475
1,kl_loss_11,0.029080618293054642
1,kl_loss_12,0.12845679116184994
1,kl_loss_13,0.8750162012474512
1,kl_loss_14,0.019832806897059244
1,kl_loss_15,0.01164174628674343
1,kl_loss_16,0.023657003112177374
1,kl_loss_17,0.025042224665402724
1,kl_loss_18,0.015777986171224747
1,kl_loss_19,1.1271709540197927
1,kl_loss_20,0.02389271872779054
1,kl_loss_21,1.8970841996131405
1,kl_loss_22,2.3162721895402476
1,kl_loss_23,0.02624870188814658
1,kl_loss_24,0.02422543088354731
1,kl_loss_25,0.018016526715890054
1,kl_loss_26,0.03048682400095527
1,kl_loss_27,0.019596751679175642
1,kl_loss_28,0.0297546369744645
1,kl_loss_29,0.017554683871166682
1,kl_loss_30,0.02371100071437096
1,kl_loss_31,0.7374627856157159
2,recon_loss,455.88134076518395
2,loss,-566.0254601919523
2,mi_loss,154.63938682310044
2,tc_loss,-147.20806326917423
2,dw_kl_loss,1.1183203763218337
2,kl_loss,8.56085741904474
2,kl_loss_0,0.012732880207539727
2,kl_loss_1,0.010401977989722484
2,kl_loss_2,0.01625625367566783
2,kl_loss_3,1.1544601340447702
2,kl_loss_4,0.013988004997372627
2,kl_loss_5,0.024869224937852992
2,kl_loss_6,0.028774669999757443
2,kl_loss_7,0.09397586136655782
2,kl_loss_8,0.008276628434247467
2,kl_loss_9,0.026236784504225816
2,kl_loss_10,0.016451210915161076
2,kl_loss_11,0.019662963742169963
2,kl_loss_12,0.21570880066162795
2,kl_loss_13,0.8641614289053025
2,kl_loss_14,0.014175943456970716
2,kl_loss_15,0.00601456609244148
2,kl_loss_16,0.013514094292536699
2,kl_loss_17,0.01730004712558722
2,kl_loss_18,0.007754841279889387
2,kl_loss_19,1.1441599710654187
2,kl_loss_20,0.015806805893218003
2,kl_loss_21,1.888849114218066
2,kl_loss_22,2.0467832428152843
2,kl_loss_23,0.01961176587088454
2,kl_loss_24,0.013762145658694607
2,kl_loss_25,0.011793045675061562
2,kl_loss_26,0.02272273097387565
2,kl_loss_27,0.012099758974747151
2,kl_loss_28,0.03195520867944084
2,kl_loss_29,0.009693331356781224
2,kl_loss_30,0.010346280658737786
2,kl_loss_31,0.7685576702958794
3,recon_loss,444.09834322365384
3,loss,-577.3666619741789
3,mi_loss,154.6327873968309
3,tc_loss,-147.1292207779423
3,dw_kl_loss,0.9359705388866445
3,kl_loss,8.458206276739798
3,kl_loss_0,0.007565591977508638
3,kl_loss_1,0.006639024384209626
3,kl_loss_2,0.012045458121906204
3,kl_loss_3,1.1791051735160172
3,kl_loss_4,0.008748507601589526
3,kl_loss_5,0.017973789729939033
3,kl_loss_6,0.017970816978323523
3,kl_loss_7,0.13615117782867084
3,kl_loss_8,0.005511711601928998
3,kl_loss_9,0.024516777120410435
3,kl_loss_10,0.010616147823090996
3,kl_loss_11,0.010277537936945596
3,kl_loss_12,0.2617850240360024
3,kl_loss_13,0.8718487085193716
3,kl_loss_14,0.010880196339360649
3,kl_loss_15,0.004231508418176604
3,kl_loss_16,0.008761671359240207
3,kl_loss_17,0.013840991853465956
3,kl_loss_18,0.004890918853111886
3,kl_loss_19,1.1358761524641385
3,kl_loss_20,0.010313345360950197
3,kl_loss_21,1.873780042894425
3,kl_loss_22,1.9328997776072512
3,kl_loss_23,0.013758853085399154
3,kl_loss_24,0.009073897340004482
3,kl_loss_25,0.008943276986810229
3,kl_loss_26,0.017998270918264666
3,kl_loss_27,0.009098202918946583
3,kl_loss_28,0.035688050281536834
3,kl_loss_29,0.0055729573347195185
